Angiogenesis_2016_Feb_5_19_155-171.txt,12,17,"p_ZINC220:1 p_SODCIT3SYR:1 d_3959:1 l_50866:1 p_STLTP:2 l_51259:1 l_50983:1 p_NABC50I:1 l_51434:1 p_DEXA4I:4 l_51123:2 l_51144:1 "
PMC5306358.txt,4,8,"d_7140:3 l_51259:1 l_51123:3 l_50980:1 "
Angiogenesis_2016_Sep_28_19_9-24.txt,7,23,"l_50922:1 l_50931:1 l_51259:5 l_51434:3 p_DEXA4I:2 l_51123:10 l_51244:1 "
Angiogenesis_2016_Oct_7_19_53-65.txt,11,29,"d_5069:1 d_7823:9 l_50922:1 l_51447:1 l_51117:1 l_50931:1 l_51279:4 l_51257:1 p_DEXA4I:1 l_51123:8 d_34889:1 "
Angiogenesis_2016_May_27_19_389-406.txt,9,55,"p_HEPA5I:39 d_7823:2 l_50862:1 l_50970:3 l_51123:4 l_51265:1 p_ALBU5500:1 p_DEX50SY:3 p_EPI1I:1 "
Aquaculture_2015_Jul_1_444_1-12.txt,5,31,"l_51447:1 p_FISH1000:17 l_50970:1 p_DEXA4I:4 l_51123:8 "
Aquaculture_2016_Nov_1_464_570-575.txt,2,6,"p_GLYC17:2 l_51123:4 "
PMC5437175.txt,2,16,"l_51434:3 l_51123:13 "
Astrobiology_2015_Dec_1_15(12)_1031-1042.txt,3,25,"p_ARTTS:4 p_DEXA4I:2 l_51123:19 "
Angiogenesis_2016_Jun_8_19_373-388.txt,7,12,"l_50813:1 l_50956:3 p_HC20:1 l_50954:1 l_51259:1 l_51434:1 l_51123:4 "
